gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name
ENSG00000001629.10,1446.7652994421242,1.5996902907671802,0.12073378387599243,13.249732091642612,4.528168270577777e-40,7.659255923888591e-39,ANKIB1
ENSG00000002330.13,435.75168507872274,3.859749864546887,0.22710851843688357,16.995178741477115,8.915818513146927e-65,2.4715804672694986e-63,BAD
ENSG00000002586.20,1061.6607080045972,1.3879833975741083,0.13924148508201165,9.968174332215732,2.1005434269011365e-23,2.1738046891805433e-22,CD99
ENSG00000002822.15,700.7332138432873,1.9934338684045183,0.1567737151255294,12.71535771674714,4.858809359887e-37,7.568568856693906e-36,MAD1L1
ENSG00000003249.13,473.456557518084,3.0447894715685577,0.18137845430570876,16.786941333377133,3.041196135551496e-63,8.15863540342977e-62,DBNDD1
ENSG00000004059.11,851.4007026584727,2.037001506591589,0.14617657894150032,13.935211244797257,3.8705351473396416e-44,7.23797325272964e-43,ARF5
ENSG00000004142.12,1733.8404032070525,2.2950639982898826,0.10804137749048885,21.242454063415867,3.871278980558216e-100,1.8195011208623614e-98,POLDIP2
ENSG00000004779.10,2014.0574404410445,2.521047556048765,0.11244198484958517,22.42087383481532,2.4630251755923866e-111,1.3334631235453973e-109,NDUFAB1
ENSG00000004866.20,669.8401001119976,1.447611181512504,0.15995394695217907,9.050174810286435,1.427396426012917e-19,1.2965661892718667e-18,ST7
ENSG00000004975.12,751.1033361320099,1.3794729346622454,0.13896376187157536,9.926853706918916,3.1813557784767e-23,3.2787129312156254e-22,DVL2
ENSG00000005022.6,2469.8609183105646,2.3116562609167817,0.10868484717478383,21.269351901459114,2.182753632284617e-100,1.0275072483800181e-98,SLC25A5
ENSG00000005075.15,1254.739510644768,3.485463460666925,0.1589022507743118,21.934638708279305,1.213982227930472e-106,6.234204789367136e-105,POLR2J
ENSG00000005339.14,2093.2999038294624,2.535921934748039,0.10483872988028277,24.188789177853014,2.919269911299995e-129,1.895878999444914e-127,CREBBP
ENSG00000005436.14,896.0362023271082,1.0047670865145522,0.13359316672284566,7.521096409063023,5.431877484698717e-14,3.8509348807576337e-13,GCFC2
ENSG00000005486.17,412.78339974539057,2.0269678586651034,0.1988600697972338,10.192935468301334,2.132266621095767e-24,2.2905608313235083e-23,RHBDD2
ENSG00000005882.12,190.03617928823127,1.1120156157159413,0.25914136456164794,4.291154434557284,1.7774664099821938e-5,6.730184247939408e-5,PDK2
ENSG00000005884.18,173.1870810814529,1.6293354494526378,0.2708401485705384,6.015856430636571,1.7893811128186666e-9,9.656142959026326e-9,ITGA3
ENSG00000006007.12,1688.3603119349593,2.3454388344506087,0.10946194620669994,21.426979107622053,7.488392034912928e-102,3.6102249457851555e-100,GDE1
ENSG00000006025.12,218.345038177631,1.7191022903445126,0.22883670314804452,7.512353860614526,5.807355548434025e-14,4.1122615365318416e-13,OSBPL7
ENSG00000006042.12,1521.6371315391962,1.7196979962891197,0.1299856514863229,13.22990635216431,5.896078830725066e-40,9.928161086224846e-39,TMEM98
ENSG00000006062.17,128.47273315396072,1.1689453078645913,0.29042680331937737,4.024922267863556,5.699413842658709e-5,2.0133893927475998e-4,MAP3K14
ENSG00000006282.21,1337.9934396545118,1.3246857131103054,0.12224163340912336,10.83661659425633,2.308514585881082e-27,2.735046228203155e-26,SPATA20
ENSG00000006327.13,576.2730924070746,1.6280023447639251,0.16681709843356352,9.759205501421022,1.6846981971673261e-22,1.6914211711935806e-21,TNFRSF12A
ENSG00000006377.11,111.00678872430449,1.1043225119807545,0.3203382204052924,3.4473641970775883,5.660849188852066e-4,0.0017136518085444088,DLX6
ENSG00000006453.14,303.41861903957687,1.1939598842709715,0.1945902524193841,6.135764096228878,8.47508429715344e-10,4.684060342855397e-9,BAIAP2L1
ENSG00000006607.14,1322.4898167191002,1.4114500599876534,0.11248709970782704,12.547661586561844,4.094228854314281e-36,6.253934574965064e-35,FARP2
ENSG00000006625.18,519.2849631026186,1.9998708556416585,0.1723522849388219,11.603390441568743,3.9606975098779895e-31,5.298450524943571e-30,GGCT
ENSG00000006638.11,171.67271924567135,1.86166521948778,0.2562104264578315,7.266157139760989,3.698583136361155e-13,2.517205740384556e-12,TBXA2R
ENSG00000006695.12,527.9719652383628,1.2163518857322135,0.16320026177089275,7.4531246000069435,9.115511806982143e-14,6.392815834838097e-13,COX10
ENSG00000006757.12,299.59194983272437,2.2523722546692366,0.2315565339294777,9.727094357679468,2.3109988976398296e-22,2.3116938187918095e-21,PNPLA4
ENSG00000007047.15,358.9408078102181,2.616996291859171,0.1985971996167316,13.177407823018928,1.1838912883708847e-39,1.9691400712519957e-38,MARK4
ENSG00000007080.11,133.44700333610072,1.2883429998379887,0.2934020101118479,4.391050352200582,1.1280441178257333e-5,4.3746778294798744e-5,CCDC124
ENSG00000007255.10,47.36334481149775,3.0998253905797184,0.5237641888612254,5.91836069838871,3.2516623994382607e-9,1.717804210211582e-8,TRAPPC6A
ENSG00000007341.19,416.57926526632986,1.0999066463902405,0.17050502204223755,6.450875365523083,1.1120592901389519e-10,6.526944341789862e-10,ST7L
ENSG00000007376.8,440.10164198285224,2.534002298994747,0.18283234349839203,13.859704746480116,1.111304271352349e-43,2.051253919853143e-42,RPUSD1
ENSG00000007520.4,1359.0025408664953,4.391665992175239,0.139362660989231,31.512500988443357,5.856258008012545e-218,7.041385883609943e-216,TSR3
ENSG00000008018.9,1726.895314017963,1.3870829711068398,0.11118289046761468,12.475687268724759,1.0132812823086269e-35,1.5290639269676402e-34,PSMB1
ENSG00000008128.23,326.49365887885625,1.717766869197973,0.19474982608038918,8.82037691006158,1.1407508424432425e-18,1.0065705709374664e-17,CDK11A
ENSG00000008130.15,1062.6537633904593,1.3646100202495457,0.12004614582891084,11.367378859412788,6.078561208776344e-30,7.830724786125428e-29,NADK
ENSG00000008323.15,350.65013351572503,1.487640411589356,0.1854066330041795,8.023663379701313,1.0263732005602742e-15,7.927912087609404e-15,PLEKHG6
ENSG00000008324.11,372.7189884209728,2.8389797759343027,0.19757773845836463,14.368925356095005,8.10795792943271e-47,1.5970010029558285e-45,SS18L2
ENSG00000008382.15,193.25625218336344,2.295673758315277,0.24890467699165533,9.223104145978908,2.886212689622161e-20,2.6818845969769674e-19,MPND
ENSG00000008441.16,221.23473627183836,1.8552897152398213,0.2304883786454059,8.049385075913463,8.32110524129992e-16,6.4640780959854256e-15,NFIX
ENSG00000008516.17,10.135224471126271,3.4000755291723714,1.138307879514243,2.986955981208973,0.002817702903355964,0.007458156416194342,MMP25
ENSG00000008517.16,491.8838367005903,1.1067917507112275,0.19191955114215264,5.766956748931949,8.071575594828721e-9,4.1386350699362404e-8,IL32
ENSG00000008710.19,2155.5621198334675,2.135120363481203,0.1064524015293406,20.057042704599926,1.7519860135397482e-89,6.965831242943762e-88,PKD1
ENSG00000008988.9,20772.221712838433,4.4144049785676716,0.09204586404373159,47.958754306118074,0,0,RPS20
ENSG00000009307.16,5535.835596967425,1.1217689014790566,0.09283315929148815,12.083709205207576,1.2877665409492065e-33,1.840307516442878e-32,CSDE1
ENSG00000010017.13,2130.4828110639182,2.8982552129228245,0.11453161215161782,25.305286099405397,2.7937522508935835e-141,1.9634307192371592e-139,RANBP9
ENSG00000010219.13,159.05383361151615,1.857779315531531,0.27568419222540447,6.738795215405664,1.5970530056069174e-11,9.86672924780551e-11,DYRK4
ENSG00000010270.13,1605.4588486817904,3.711714928613739,0.13317946917842735,27.870023446639244,6.1615051549286e-171,5.441572354967769e-169,STARD3NL
ENSG00000010318.21,117.9686302140499,1.9078353608911607,0.3233042413192969,5.901052683707211,3.611895373351733e-9,1.901468886632276e-8,PHF7
ENSG00000010404.18,239.61229659311437,2.17978749130033,0.23954162687284944,9.099827532094778,9.047538742324998e-20,8.270969844472308e-19,IDS
ENSG00000010803.16,1994.6964989151488,2.4295592141729636,0.10350876692613556,23.472013881748882,7.879436697272901e-122,4.8340667065502747e-120,SCMH1
ENSG00000011009.11,535.5739023255358,1.3847634071935122,0.1656944826990276,8.357329614341099,6.415386642093583e-17,5.247821329990158e-16,LYPLA2
ENSG00000011052.21,67.21939141665531,2.605170560325865,0.5021095051571005,5.1884509924000675,2.1205054977610943e-7,9.728135779569323e-7,NME1-NME2
ENSG00000011114.15,1002.6689247906613,1.6337718970249155,0.12291509505076482,13.291873519278946,2.5803537531923118e-40,4.389386989592308e-39,BTBD7
ENSG00000011332.19,56.63223107182921,1.2111888287287935,0.43295303174934213,2.797506288003107,0.005149876478679559,0.012859228681833805,DPF1
ENSG00000011347.9,49.40339347593599,1.3940236997612936,0.4568739681115053,3.0512215557465647,0.002279123308281221,0.006148929686098177,SYT7
ENSG00000011638.10,152.62958728948124,1.3230302601793436,0.2664806252952671,4.964827212910482,6.876226161765118e-7,3.0181400829363126e-6,TMEM159
ENSG00000012061.15,632.4112165459303,2.451536934529406,0.15849484119425417,15.467613431813579,5.73957790089184e-54,1.284284176194326e-52,ERCC1
ENSG00000012504.15,2099.133731529197,1.1251740655808466,0.10552320803025911,10.662811400295938,1.5193392631247323e-26,1.7454911050917635e-25,NR1H4
ENSG00000013306.16,6728.916655760598,4.122585809944876,0.1079744915237225,38.18110881345641,0,0,SLC25A39
ENSG00000013563.14,94.87791286179487,1.6183686412777802,0.33343499427098766,4.853625651429098,1.212244723787937e-6,5.181069919412856e-6,DNASE1L1
ENSG00000015171.19,1116.3636805249168,1.800954116254873,0.12015333289190917,14.988798670071223,8.69110269573641e-51,1.8506609075935445e-49,ZMYND11
ENSG00000015413.9,551.7949055912295,1.6604289421215352,0.17582704276322436,9.443535624707824,3.6040838107470054e-21,3.475126093718344e-20,DPEP1
ENSG00000015475.18,367.64836493388384,1.0366743788752335,0.184886176837513,5.607095114451491,2.0575060377333147e-8,1.023590449712491e-7,BID
ENSG00000017797.13,688.1363840926577,1.2536771745157018,0.13928122267327755,9.001049462758859,2.235701913420748e-19,2.0161048068043303e-18,RALBP1
ENSG00000019186.10,1094.84175315036,4.555835391710909,0.1455067338826098,31.31013438447744,3.396640125495936e-215,4.019446984870468e-213,CYP24A1
ENSG00000019995.6,2561.6818652887264,3.048347238112535,0.11313938568039883,26.94328964029946,6.8365835220196e-160,5.5468963161448455e-158,ZRANB1
ENSG00000020426.11,801.9577025567808,1.0853710042540687,0.15514967900081297,6.995638091190517,2.6405435376344605e-12,1.7081943166213938e-11,MNAT1
ENSG00000021355.13,787.3229129389206,1.5564479692144475,0.13886470476802668,11.20837704450884,3.7093230628689005e-29,4.68184752020371e-28,SERPINB1
ENSG00000022840.16,861.4965445829337,1.2486642046752114,0.13366170946650505,9.34197392551021,9.45545959573131e-21,8.966962459189093e-20,RNF10
ENSG00000022976.15,403.54594316346737,1.2671256238526871,0.17581112487934317,7.207311964600071,5.706716210689412e-13,3.83509262922178e-12,ZNF839
ENSG00000023041.11,1075.4207475501112,1.7263987212188154,0.16365921366380656,10.548741391152184,5.1482088412495564e-26,5.816310358421528e-25,ZDHHC6
ENSG00000023191.17,709.4684791605204,1.1670492462400368,0.1427366785741789,8.176239337344061,2.928400384729243e-16,2.323704720869568e-15,RNH1
ENSG00000023330.15,320.67111570427454,1.1065668467316179,0.19061828939516762,5.805145194843358,6.431025008695437e-9,3.329387130128527e-8,ALAS1
ENSG00000023697.13,577.9430842074319,1.876666904953299,0.15542190284538973,12.074661747129461,1.4375414942072342e-33,2.0494549902414467e-32,DERA
ENSG00000023734.11,1125.6160331082515,1.6439573215527996,0.12301605883777025,13.363761911124135,9.845962081821646e-41,1.6912120411225372e-39,STRAP
ENSG00000023902.14,260.3571711795366,2.655866924059271,0.21794254868308743,12.186087297350987,3.6870286184216285e-34,5.322369807469872e-33,PLEKHO1
ENSG00000023909.10,473.42023237519123,1.046072638833418,0.17276542099814304,6.054872744729755,1.405287120036154e-9,7.645446317783465e-9,GCLM
ENSG00000025293.17,965.2311646954444,1.3016437290776866,0.12572334776890004,10.353237900332717,4.0456736332443074e-25,4.4645566865352494e-24,PHF20
ENSG00000025434.19,307.1162645783567,1.361017432717767,0.20816896968820303,6.538041835708313,6.232949162697719e-11,3.715075950268903e-10,NR1H3
ENSG00000026036.22,682.0136500589601,1.6978855471209253,0.14346791886331947,11.834600798374199,2.5857079640005177e-32,3.5548819062993515e-31,RTEL1-TNFRSF6B
ENSG00000026297.15,410.2058942556252,1.7457528198286647,0.2516917292958506,6.936075431293265,4.03142400643125e-12,2.5828547684259617e-11,RNASET2
ENSG00000027847.14,620.6328812317741,3.147240725247092,0.16145324660561286,19.49320184892262,1.2538476280799196e-84,4.6459089278570185e-83,B4GALT7
ENSG00000028839.10,502.9553164104701,2.1740429124858314,0.1804811666984514,12.04581592780941,2.0404733799239346e-33,2.89662079286594e-32,TBPL1
ENSG00000029153.14,1122.6970658819284,2.3590376411401772,0.12038708872972582,19.59543723526962,1.6912654465760619e-85,6.337271114523243e-84,ARNTL2
ENSG00000030110.13,526.2842701923822,2.5673006815903725,0.19656975554848413,13.060507067462598,5.535782726033475e-39,9.071472306224203e-38,BAK1
